COUNTS - 2017 - annual entries & exits,,,,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,[ Weights,253,52,59,253,52,59,],,,,,,
Counts by station,,,,,,,,,,Annual,,,,,,
 ,,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,,,
nlc,Station,Borough,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,,,
637,Maida Vale,City of Westminster, ,5434,3803,2676,4864,3331,2587,3.29,,,,,,
638,Manor House,Hackney, ,13539,11134,8587,12569,9598,8442,8.69,,,,,,
639,Mansion House,City of London, ,11584,2766,2046,11730,2602,1818,6.41,,,,,,
640,Marble Arch,City of Westminster, ,22337,19161,13651,19926,15796,11629,14.00,,,,,,
641,Marylebone,City of Westminster, ,20984,14952,11935,21656,15163,10853,13.70,,,,,,
642,Mile End,Tower Hamlets, ,24959,18224,13261,23873,16737,13471,15.75,,,,,,
643,Mill Hill East,Barnet,A,2397,1202,769,2154,1414,877,1.38,,,,,,
646,Moor Park,Three Rivers, ,1717,639,364,1558,619,381,0.94,,,,,,
645,Moorgate,City of London,A,46698,5823,3961,54744,7320,4878,26.87,,,,,,
647,Morden,Merton, ,17036,11546,8648,15608,10490,8367,10.41,,,,,,
648,Mornington Crescent,Camden, ,7868,4752,11598,7293,3435,2327,5.08,,,,,,
649,Neasden,Brent, ,6327,4364,3153,5707,4027,2998,3.84,,,,,,
650,Newbury Park,Redbridge, ,9329,6362,4269,8148,5762,3775,5.53,,,,,,
653,North Acton,Ealing, ,11190,6407,4544,11023,5915,4405,6.79,,,,,,
654,North Ealing,Ealing, ,1402,939,594,1232,801,601,0.83,,,,,,
789,North Greenwich,Greenwich, ,40613,35817,28314,42343,36024,29738,28.15,,,,,,
656,North Harrow,Harrow, ,3285,1730,1051,3165,1540,990,1.92,,,,,,
659,North Wembley,Brent, ,2917,1966,1404,2693,1751,1332,1.77,,,,,,
655,Northfields,Ealing, ,6422,4279,3038,6197,3990,3159,3.99,,,,,,
657,Northolt,Ealing, ,8427,5747,3834,8044,5234,3657,5.18,,,,,,
660,Northwick Park,Brent, ,7679,3607,2678,7553,3270,2612,4.52,,,,,,
661,Northwood,Hillingdon,A,5509,2592,1587,4747,2373,1533,3.04,,,,,,
662,Northwood Hills,Hillingdon, ,3435,1901,1167,3250,1694,1117,2.01,,,,,,
663,Notting Hill Gate,Kensington and Chelsea, ,23741,23951,14101,23447,27388,15288,16.34,,,,,,
664,Oakwood,Enfield, ,4407,3555,2568,4331,3560,2689,2.89,,,,,,
