Station_ID,Station_Name,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
311,Hampstead,7192,5531,4827,7223,5740,5349,606.94
312,Mornington Crescent,7868,4752,11598,7293,3435,2327,634.81
313,Chalk Farm,8997,8721,7683,8003,7056,5373,771.85
314,Camden Town,31046,37481,16303,31183,41851,28383,3076.84
315,Kentish Town,13857,8998,6164,12940,8053,5434,983.17
316,Tufnell Park,6597,5234,3682,6004,4349,3536,508.01
317,Oval,11909,8303,5763,11272,7631,5485,882.67
318,Kennington,8942,6777,4709,8177,6390,4843,687.97
319,East Acton,6603,4380,3187,6345,3923,3119,484.28
320,Chalfont & Latimer,2838,1286,726,2964,1082,573,177.81
321,Chorleywood,1369,542,328,1221,545,320,80.63
322,Chesham,1985,1011,634,1821,912,564,126.55
323,Rickmansworth,4966,2059,1190,4381,1888,1139,291.48
324,Moor Park,1717,639,364,1558,619,381,99.27
325,Northwood,5509,2592,1587,4747,2373,1533,336.43
326,Croxley,2006,887,489,1877,825,489,122.2
327,Watford,3307,1654,1067,2873,1671,1001,209.9
328,Preston Road,6315,3557,2656,5399,3292,2556,422.38
329,Borough,9525,5779,3955,9318,6268,4140,689.18
330,Old Street,42971,26666,18023,41107,31508,17321,3131.06
331,Angel,30413,20944,13916,30099,22368,13832,2304.94
332,Hendon Central,13207,7560,5685,12181,6560,5278,900.52
333,Wimbledon,18188,15969,10013,20149,16795,10509,1574.78
334,Wood Lane,6242,4516,2267,6631,4294,2494,470.25
335,Heathrow Terminal 5,6659,6383,7743,5700,5191,5919,614.41
